Dataset	Alignment	Raw_alignments	Manually_filtered	AliFilter_Filtered	BMGE_Filtered	ClipKIT_Filtered	Gblocks_Filtered	Noisy_Filtered	trimAl_Filtered
Dataset1	109	283	211	174	164	232	137	211	173
Dataset1	11	834	483	484	483	495	466	298	460
Dataset1	110	158	156	156	154	156	142	114	148
Dataset1	111	162	106	105	105	137	101	83	104
Dataset1	112	178	131	130	130	138	117	108	130
Dataset1	113	201	127	125	124	150	115	126	123
Dataset1	114	131	127	126	126	126	117	101	126
Dataset1	115	217	83	83	78	109	76	85	82
Dataset1	116	108	92	92	92	97	87	68	90
Dataset1	117	649	379	371	325	505	289	410	319
Dataset1	118	1549	951	937	901	1350	815	1027	911
Dataset1	119	651	447	437	419	560	339	490	410
Dataset1	12	152	81	81	79	112	64	80	80
Dataset1	120	542	426	427	416	470	358	399	410
Dataset1	121	873	480	479	476	489	468	417	476
Dataset1	122	307	263	262	260	275	242	214	248
Dataset1	123	830	275	265	243	360	217	330	228
Dataset1	124	503	381	375	360	445	311	354	364
Dataset1	125	774	616	609	595	704	558	422	586
Dataset1	125b	982	639	617	598	673	507	601	616
Dataset1	126	577	241	242	234	297	185	221	226
Dataset1	127	520	249	236	220	496	185	414	221
Dataset1	128	472	337	336	330	373	296	290	335
Dataset1	129	468	291	284	250	377	178	343	208
Dataset1	13	454	251	251	232	333	181	267	218
Dataset1	130	427	409	409	407	409	398	295	409
Dataset1	131	300	249	250	240	261	206	221	221
Dataset1	132	1340	1010	973	927	1156	858	808	903
Dataset1	133	1721	173	173	173	1031	132	408	163
Dataset1	134	298	246	243	238	273	227	222	241
Dataset1	135	708	332	325	317	412	217	401	258
Dataset1	136	172	160	160	158	162	148	141	160
Dataset1	14	885	354	341	308	717	232	381	335
Dataset1	15	517	304	290	269	437	180	351	191
Dataset1	16	524	508	508	508	510	505	238	507
Dataset1	17	452	377	367	357	408	313	252	341
Dataset1	18	313	297	288	286	308	280	193	277
Dataset1	19	542	468	467	456	501	435	379	465
Dataset1	2	178	169	169	169	177	155	157	167
Dataset1	20	1051	832	824	801	954	780	731	775
Dataset1	21	1027	208	201	175	555	113	235	145
Dataset1	22	165	162	162	162	163	154	142	162
Dataset1	23	904	546	544	541	566	522	365	534
Dataset1	24	480	310	308	291	342	234	278	281
Dataset1	25	937	496	488	439	675	367	568	416
Dataset1	26	845	641	638	634	735	582	555	594
Dataset1	27	1801	1027	452	432	840	357	1097	1428
Dataset1	28	629	399	387	351	539	249	480	288
Dataset1	29	442	429	431	427	440	390	342	414
Dataset1	3	1525	881	880	852	1038	765	776	844
Dataset1	30	1727	997	976	881	1266	575	1126	802
Dataset1	31	690	497	489	459	612	408	508	422
Dataset1	32	362	292	294	277	328	218	270	270
Dataset1	33	204	182	182	180	191	155	157	179
Dataset1	34	145	123	121	111	134	101	112	120
Dataset1	35	894	631	628	615	792	557	620	628
Dataset1	36	1296	602	522	417	1026	326	807	237
Dataset1	37	768	692	692	679	711	646	704	689
Dataset1	38	508	351	350	334	458	279	350	346
Dataset1	39	753	646	640	625	699	567	613	609
Dataset1	4	162	161	161	161	162	158	145	161
Dataset1	40	827	636	633	599	716	504	599	601
Dataset1	41	730	456	453	435	682	355	590	448
Dataset1	42	181	103	103	103	156	100	72	102
Dataset1	43	510	439	428	413	470	360	416	414
Dataset1	44	359	328	327	325	336	324	232	325
Dataset1	44b	426	347	334	324	384	279	287	322
Dataset1	45	288	214	212	200	255	160	198	192
Dataset1	46	269	182	177	144	224	115	137	124
Dataset1	47	266	190	177	176	210	166	176	169
Dataset1	47b	189	168	164	163	176	153	103	161
Dataset1	48	736	632	621	576	683	508	590	617
Dataset1	49	200	176	173	168	186	159	134	167
Dataset1	5	163	161	161	161	162	159	139	161
Dataset1	50	264	238	238	232	244	213	218	234
Dataset1	51	307	287	287	287	296	265	252	287
Dataset1	52	523	211	210	202	293	174	203	210
Dataset1	53	200	182	181	179	189	167	151	178
Dataset1	54	205	152	152	152	194	114	154	146
Dataset1	55	217	141	141	137	144	137	107	141
Dataset1	56	149	133	130	128	139	102	114	126
Dataset1	57	134	122	122	122	126	119	106	121
Dataset1	58	226	156	120	117	195	116	155	114
Dataset1	59	236	118	118	117	120	109	91	114
Dataset1	6	176	162	161	161	167	159	145	164
Dataset1	60	145	96	91	89	115	83	63	82
Dataset1	61	660	604	603	600	614	566	491	596
Dataset1	62	880	403	402	395	452	333	437	397
Dataset1	63	1027	536	534	494	759	350	551	472
Dataset1	64	612	311	307	259	505	204	401	235
Dataset1	65	312	269	268	258	290	240	248	262
Dataset1	66	565	468	453	418	507	360	448	384
Dataset1	67	1080	577	562	501	913	372	747	419
Dataset1	68	678	324	323	306	365	261	274	297
Dataset1	69	689	525	520	493	615	438	562	506
Dataset1	7	1655	1146	1082	908	1562	761	1383	845
Dataset1	70	1120	703	688	671	803	524	740	651
Dataset1	71	482	394	394	394	393	374	360	393
Dataset1	72	339	214	213	185	232	165	208	173
Dataset1	73	343	343	327	322	329	307	281	323
Dataset1	74	293	241	238	232	270	215	185	231
Dataset1	75	774	478	451	345	645	213	581	324
Dataset1	76	407	333	329	317	350	254	320	295
Dataset1	77	229	222	220	217	226	212	102	215
Dataset1	78	489	315	219	219	409	199	296	218
Dataset1	79	478	401	400	392	440	372	342	399
Dataset1	8	544	453	450	433	489	387	391	416
Dataset1	80	387	336	334	323	348	262	297	326
Dataset1	81	810	720	719	714	744	610	635	700
Dataset1	82	444	323	323	321	323	255	357	323
Dataset1	83	410	369	367	362	378	322	327	356
Dataset1	84	863	769	751	737	826	710	632	724
Dataset1	85	958	742	742	740	758	725	543	723
Dataset1	86	84	81	81	80	83	80	72	82
Dataset1	87	391	360	360	360	388	357	189	359
Dataset1	88	724	515	510	501	723	471	411	499
Dataset1	89	492	462	461	459	475	447	325	448
Dataset1	9	530	506	505	505	521	489	308	499
Dataset1	90	367	352	352	350	360	336	163	350
Dataset1	91	94	84	82	80	88	68	58	80
Dataset1	92	275	172	163	162	223	123	195	123
Dataset1	93	161	111	111	106	144	94	126	111
Dataset1	94	681	561	552	530	631	480	524	532
Dataset1	95	715	399	372	321	578	244	433	242
Dataset1	96	482	479	476	476	478	475	401	466
Dataset1	97	461	339	335	304	460	280	358	275
Dataset1	98	468	377	361	335	422	310	335	328
Dataset1	99	725	469	463	411	607	309	520	313
Dataset6	1164at7399	5388	4612	4469	4461	5387	4258	4459	4456
Dataset6	12502at7399	1487	1197	1197	1197	1474	1197	916	1191
Dataset6	15261at7399	1723	1212	1227	1226	1695	1212	1254	1221
Dataset6	1576at7399	4141	3560	3615	3613	3872	3609	3333	3560
Dataset6	23162at7399	813	653	686	683	795	678	672	689
Dataset6	25751at7399	1117	729	768	768	1114	717	757	737
Dataset6	27640at7399	490	459	459	459	459	449	368	458
Dataset6	2at7399	25106	23675	23790	23784	24812	23482	19365	21539
Dataset6	4155at7399	2829	2433	2433	2433	2715	2433	2167	2430
Dataset6	7774at7399	1991	1875	1881	1881	1962	1875	1710	1875
Dataset7	OG_10792	1521	1008	1011	1011	1086	1009	813	1008
Dataset7	OG_11400	1237	813	816	816	911	811	674	813
Dataset7	OG_11840	592	495	504	504	546	504	286	477
Dataset7	OG_13191	2256	642	643	642	1696	634	829	642
Dataset7	OG_16952	16113	2141	1542	1544	7560	1101	2206	1924
Dataset7	OG_1868	951	939	942	942	942	942	540	936
Dataset7	OG_2214	3392	1513	1536	1536	1715	1509	1446	1517
Dataset7	OG_24620	2713	1263	1263	1263	2513	1260	656	1253
Dataset7	OG_3861	4556	1926	1980	1977	4390	1947	2443	2162
Dataset7	OG_9046	1879	1551	1554	1554	1698	1554	1266	1551
Dataset4	COG0008	2169	637	591	281	2168	52	1049	472
Dataset4	COG0052	1152	251	259	205	869	39	559	202
Dataset4	COG0087	923	319	309	154	612	42	509	118
Dataset4	COG0094	475	199	197	157	347	29	236	181
Dataset4	COG0099	433	152	151	104	299	34	251	129
Dataset4	COG0186	775	109	97	72	431	24	205	60
Dataset4	COG0197	499	175	172	99	370	21	237	79
Dataset4	COG0258	2704	886	815	228	1997	21	1445	658
Dataset4	COG0409	652	352	367	308	503	146	466	295
Dataset4	COG0452	1415	388	407	279	933	63	575	311
Dataset4	COG0522	247	231	233	130	211	38	243	84
Dataset4	COG0532	3625	787	671	396	3624	130	2100	352
Dataset4	COG5257	1780	390	413	358	1112	258	887	326
Dataset3	27961at204455	288	276	280	280	284	270	233	276
Dataset3	30157at204455	586	547	552	549	580	465	467	519
Dataset3	38946at204455	202	183	187	186	193	160	178	184
Dataset3	40208at204455	399	291	290	290	369	233	321	289
Dataset3	42290at204455	1107	568	561	554	915	421	803	523
Dataset3	43863at204455	343	320	333	333	340	291	313	331
Dataset3	44785at204455	241	192	199	187	218	98	216	139
Dataset3	52677at204455	151	120	126	123	146	86	146	115
Dataset3	6058at204455	470	444	450	448	463	432	402	444
Dataset3	61883at204455	69	68	69	69	69	69	64	68
Dataset8	Alphaproteobacteria_ssu_2000	7399	1302	1427	624	4080	111	2749	1338
Dataset8	Chytridiomycota_ssu_200	2556	1743	1745	1680	1987	1478	1239	1793
Dataset8	Embryophyta_lsu_200	10704	3210	3314	3211	6323	2636	4895	3717
Dataset8	Euryarchaeota_lsu_126	3324	2903	2985	2949	3236	2690	2578	2526
Dataset8	Fusobacteriia_lsu_93	2992	2881	2910	2901	2924	2879	2028	2872
Dataset8	Gemmatales_ssu_500	1974	1353	1451	1377	1763	1042	1069	1536
Dataset8	Gemmatimonadota_ssu_200	1935	1460	1504	1427	1708	1101	976	1401
Dataset8	Halobacteria_lsu_180	5322	2877	2908	2896	3099	2783	1994	2874
Dataset8	Halobacterota_lsu_296	5597	2829	2909	2845	3224	2591	2620	2929
Dataset8	Kinetoplastea_ssu_500	4038	1813	2121	1874	3513	1440	3165	2118
Dataset8	Methanosarcinia_lsu_61	3064	2864	2902	2899	2967	2835	2118	2764
Dataset8	Platyhelminthes_ssu_1993	9622	1574	1762	828	4795	64	5312	1714
Dataset8	Protalveolata_ssu_2000	3419	1599	1787	1104	2732	550	1905	1724
Dataset8	Spirochaetota_lsu_200	4633	2846	2973	2945	3474	2550	3068	2838
