Species	Mitochondrial genome accession	Gene count	ATP6	ATP8	COX1	COX2	COX3	CYTB	ND1	ND2	ND3	ND4	ND4L	ND5	ND6	rRNA-12S	rRNA-16S	tRNA-Ala	tRNA-Arg	tRNA-Asn	tRNA-Asp	tRNA-Cys	tRNA-Gln	tRNA-Glu	tRNA-Gly	tRNA-His	tRNA-Ile	tRNA-Leu	tRNA-Lys	tRNA-Met	tRNA-Phe	tRNA-Pro	tRNA-Ser	tRNA-Thr	tRNA-Trp	tRNA-Tyr	tRNA-Val
Anneissia pinguis	NC_054279.1	35	YP_010044619.1	YP_010044618.1	YP_010044615.1	YP_010044617.1	YP_010044620.1	YP_010044625.1	YP_010044627.1	YP_010044626.1	YP_010044621.1	YP_010044622.1	YP_010044616.1	YP_010044623.1	YP_010044624.1	complement(11033..11899)	complement(12127..13672)	complement(10237..10311)	1559..1628	10087..10159	complement(10598..10669)	10382..10451	complement(10007..10079)	complement(10962..11032)	complement(12057..12126)	6168..6240	14790..14862	10165..10236;complement(11973..12044)	2624..2693	10524..10595	complement(11900..11972)	9931..10000	complement(4339..4409);6267..6334	complement(10888..10962)	10313..10381	complement(13673..13743)	complement(10451..10520)
Armillifer grandis	KY914472.1	34	AVC55710.1	AVC55709.1	-	AVC55708.1	AVC55711.1	AVC55717.1	AVC55718.1	AVC55706.1	AVC55712.1	AVC55714.1	AVC55715.1	AVC55713.1	AVC55716.1	complement(13041..13697)	complement(11837..12982)	5629..5685	5685..5747	5803..5855	3634..3688	complement(1203..1255)	complement(1254..1318)	5911..5965	5230..5285	complement(7628..7688)	73..132	2907..2969;complement(13698..13757)	5747..5803	134..195	complement(5964..6020)	complement(9284..9339)	2..55;5854..5911	9229..9283	1154..1210	complement(1321..1380)	complement(12983..13040)
Aspidodiadema arcitum	ON254173.1	34	UTD49253.1	UTD49252.1	UTD49249.1	UTD49251.1	UTD49254.1	UTD49258.1	UTD49259.1	UTD49260.1	UTD49255.1	UTD49248.1	-	UTD49256.1	UTD49257.1	9935..10826	14325..15870	complement(11541..11613)	1565..1632	11397..11470	complement(11924..11993)	11682..11748	complement(11325..11396)	10827..10899	12078..12145	6150..6217	13194..13265	11470..11541;12145..12219	2619..2689	11844..11918	9862..9934	11253..11321	complement(4323..4392);6219..6286	10900..10971	11612..11682	12002..12072	complement(11748..11817)
Asterias amurensis	AB183559.1	13	BAD86689.1	BAD86688.1	BAD86685.1	BAD86687.1	BAD86690.1	BAD86695.1	BAD86684.1	BAD86683.1	BAD86691.1	BAD86692.1	BAD86686.1	BAD86693.1	BAD86694.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Astrodia duospina	PP379624.1	35	XBA95495.1	XBA95494.1	XBA95491.1	XBA95493.1	XBA95496.1	XBA95501.1	XBA95503.1	XBA95502.1	XBA95497.1	XBA95498.1	XBA95492.1	XBA95499.1	XBA95500.1	complement(9462..10363)	complement(10552..11918)	complement(12126..12192)	1611..1677	complement(15792..15863)	complement(13522..13587)	15936..16003	15862..15932	complement(12238..12306)	complement(9192..9259)	6195..6262	complement(14639..14710)	complement(11968..12032);complement(15712..15783)	2679..2749	complement(12048..12116)	complement(10370..10440)	complement(9404..9467)	complement(4391..4462);6284..6351	complement(12307..12373)	16275..16341	complement(16131..16197);complement(16203..16269)	complement(16003..16072)
Asymmetron inferum	AP009352.1	35	BAF76602.1	BAF76601.1	BAF76597.1	BAF76600.1	BAF76598.1	BAF76607.1	BAF76608.1	BAF76609.1	BAF76599.1	BAF76604.1	BAF76603.1	BAF76606.1	BAF76605.1	10169..11022	11155..12514	complement(14881..14943)	4575..4638	complement(14743..14808)	2901..2967	complement(14949..15005)	2744..2812	complement(8832..8895)	complement(6902..6967)	6282..6346	13528..13593	complement(8760..8826);12515..12584	3659..3772	13595..13661	11023..11087	complement(10104..10168)	complement(2816..2886);6347..6412	10040..10104	14810..14877	complement(15006..15072)	11088..11154
Atheraster arandae	PX413461.1	33	YAN97358.1	YAN97357.1	YAN97354.1	YAN97356.1	YAN97359.1	YAN97364.1	YAN97366.1	YAN97365.1	-	YAN97361.1	-	YAN97362.1	YAN97363.1	10130..11021	complement(11552..13148)	15908..15973	1558..1626	complement(16047..16118)	15556..15625	complement(15767..15834)	16123..16193	11025..11093	complement(15408..15476)	6336..6405	complement(14264..14335)	complement(15311..15384);complement(15975..16046)	2626..2683	complement(15626..15696)	10060..10129	complement(16194..16262)	complement(4325..4395);6407..6474	11098..11168	complement(15839..15907)	complement(15484..15555)	15697..15766
Balanus trigonus	MW646099.1	35	QTF87977.1	QTF87976.1	QTF87974.1	QTF87975.1	QTF87978.1	QTF87984.1	QTF87985.1	QTF87986.1	QTF87979.1	QTF87981.1	QTF87980.1	QTF87982.1	QTF87983.1	complement(13145..13961)	complement(11769..13075)	4522..4588	4391..4453	4458..4521	2303..2370	complement(10561..10626)	complement(10669..10736)	4597..4662	3975..4038	6457..6520	14360..14427	1547..1614;complement(11701..11768)	complement(10472..10537)	14433..14497	8223..8286	4776..4839	4663..4721;10285..10354	8411..8477	15496..15560	10363..10428	complement(13076..13143)
Bathysquilla crassispinosa	PP761313.1	34	XAL81978.1	XAL81977.1	-	XAL81976.1	XAL81979.1	XAL81985.1	XAL81986.1	XAL81987.1	XAL81980.1	XAL81982.1	XAL81983.1	XAL81981.1	XAL81984.1	complement(12741..13573)	complement(11301..12669)	4481..4544	4560..4624	4627..4694	2373..2438	complement(14997..15060)	complement(13772..13839)	4763..4821	4058..4123	complement(6627..6692)	13695..13774	1541..1602;complement(11238..11300)	2297..2364	13852..13920	complement(4822..4889)	complement(8396..8461)	4695..4762;10120..10187	8329..8395	14923..14989	complement(15076..15140)	complement(12671..12742)
Batillipes longispinosus	KF938943.1	34	AHZ34673.1	AHZ34672.1	-	AHZ34671.1	AHZ34674.1	AHZ34680.1	AHZ34681.1	AHZ34669.1	AHZ34675.1	AHZ34677.1	AHZ34678.1	AHZ34676.1	AHZ34679.1	complement(13183..13865)	complement(12029..13128)	5502..5566	5567..5617	5617..5682	3462..3523	complement(1065..1117)	complement(13866..13930)	5746..5810	5101..5164	complement(7507..7572)	complement(11905..11968)	complement(11843..11903);complement(11968..12028)	3394..3457	1..65;complement(13929..13994)	complement(5812..5877)	complement(9245..9309)	5682..5746;complement(10856..10912)	9166..9244	1008..1074	complement(1125..1184)	complement(13129..13182)
Beroe cucumis	MK361035.1	11	-	-	QGL53116.1	QGL53124.1	QGL53121.1	QGL53117.1	QGL53123.1	QGL53122.1	-	QGL53120.1	QGL53118.1	QGL53119.1	-	203..566	567..1439	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Beroe forskalii	MG655624.1	13	-	-	AWK60599.1	AWK60608.1	AWK60605.1	AWK60603.1	AWK60604.1	AWK60606.1	AWK60609.1	AWK60601.1	AWK60611.1	AWK60600.1	AWK60610.1	1880..2255	2256..3105	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Blanus cinereus	EU443257.1	35	ABZ79345.1	ABZ79344.1	ABZ79342.1	ABZ79343.1	ABZ79346.1	ABZ79352.1	ABZ79340.1	ABZ79341.1	ABZ79347.1	ABZ79349.1	ABZ79348.1	ABZ79350.1	ABZ79351.1	71..1025	1093..2605	complement(4962..5030)	9735..9797	complement(5032..5104)	6880..6946	complement(5133..5190)	complement(3718..3788)	complement(14022..14089)	9318..9388	11467..11535	3648..3717	2606..2680;11601..11671	7632..7697	3788..3855	1..70	complement(15735..15799)	complement(6803..6873);11536..11601	15246..15313	4896..4961	complement(5192..5262)	1026..1092
Brachionus manjavacas	MW559987.1	17	-	-	QSX43080.1	QSX43085.1	QSX43086.1	-	-	-	QSX43087.1	QSX43083.1	QSX43082.1	QSX43084.1	QSX43081.1	-	-	7129..7193	1553..1619	5585..5650	-	2160..2219	-	-	-	-	1630..1694	7617..7680	7546..7610	-	12313..12376	-	12377..12441	-	-	-	-
Brachionus plicatilis	AP009408.1	17	-	-	BAG12878.1	BAG12883.1	BAG12884.1	-	-	-	BAG12885.1	BAG12881.1	BAG12880.1	BAG12882.1	BAG12879.1	-	-	7133..7197	1554..1620	5591..5655	-	2164..2224	-	-	-	-	1631..1695	7623..7686	7550..7613	-	12542..12605	-	12606..12672	-	-	-	-
Branchinecta paludosa	MZ853171.1	35	UBX38437.1	UBX38438.1	UBX38440.1	UBX38439.1	UBX38436.1	UBX38430.1	UBX38429.1	UBX38441.1	UBX38435.1	UBX38433.1	UBX38432.1	UBX38434.1	UBX38431.1	220..971	1036..2187	complement(8554..8615)	complement(8490..8552)	complement(8424..8486)	complement(11327..11388)	13801..13861	13862..13927	complement(8293..8356)	complement(8962..9023)	6405..6467	13928..13989	2188..2249;complement(12136..12197)	complement(11390..11452)	complement(14950..15012)	8096..8157	4823..4885	complement(3158..3224);complement(8357..8423)	complement(4886..4947)	complement(13989..14050)	13735..13796	971..1035
Branchiostoma floridae	AF098298.1	35	AAB87995.1	AAB87996.1	AAB87991.2	AAB87997.1	AAB87994.1	AAB88000.1	AAB88002.1	AAB88003.2	AAB87998.1	AAB87992.1	AAB87993.2	AAB87999.1	AAB88001.2	10153..10998	11134..12504	complement(14887..14949)	4429..4495	complement(14751..14820)	1625..1689	complement(14950..15007)	complement(13648..13716)	complement(8814..8878)	8260..8327	6131..6196	13519..13581	6263..6330;12505..12575	2381..2446	13582..13648	10999..11064	complement(10087..10152)	complement(1546..1616);6197..6262	10023..10086	14820..14888	complement(15008..15073)	11067..11133
Bubalus quarlesi	NC_060307.1	35	YP_010248052.1	YP_010248051.1	YP_010248049.1	YP_010248050.1	YP_010248053.1	YP_010248059.1	YP_010248047.1	YP_010248048.1	YP_010248054.1	YP_010248056.1	YP_010248055.1	YP_010248057.1	YP_010248058.1	70..1026	1092..2662	complement(5013..5083)	9810..9878	complement(5085..5157)	6943..7011	complement(5190..5256)	complement(3762..3833)	complement(14080..14148)	9393..9462	11547..11617	3696..3764	2663..2737;11678..11747	7700..7767	3836..3904	1..69	15297..15365	complement(6867..6935);11618..11676	15365..15430	4947..5013	complement(5257..5323)	1027..1093
Caecilia tentaculata	KF540146.1	35	AGZ18882.1	AGZ18890.1	AGZ18880.1	AGZ18881.1	AGZ18883.1	AGZ18889.1	AGZ18878.1	AGZ18879.1	AGZ18884.1	AGZ18886.1	AGZ18885.1	AGZ18887.1	AGZ18888.1	68..1001	1068..2644	complement(4995..5063)	9788..9855	complement(5065..5137)	6919..6987	complement(5169..5233)	complement(3752..3820)	complement(13993..14061)	9376..9444	11518..11585	3684..3753	2645..2718;11651..11721	7680..7752	3820..3888	1..68	complement(15307..15375)	complement(6846..6916);11586..11651	15207..15278	4925..4993	complement(5234..5302)	1002..1067
Calopteryx splendens	MT410843.1	34	QNE85953.1	QNE85952.1	QNE85950.1	QNE85951.1	QNE85954.1	QNE85948.1	QNE85949.1	-	QNE85955.1	QNE85945.1	QNE85946.1	QNE85944.1	QNE85947.1	complement(7737..8528)	complement(6373..7687)	15195..15259	15260..15323	15325..15389	13098..13163	complement(10566..10627)	complement(9056..9123)	15461..15523	14780..14842	complement(1793..1857)	8990..9058	complement(6309..6373);12273..12338	13027..13097	9124..9192	complement(1..66)	complement(3574..3639)	5274..5338;15390..15458	3487..3551	10505..10573	complement(10628..10698)	complement(7687..7736)
Capulus dilatatus	OR687630.1	35	WOW98758.1	WOW98757.1	WOW98755.1	WOW98756.1	WOW98765.1	WOW98761.1	WOW98759.1	WOW98767.1	WOW98766.1	WOW98763.1	WOW98762.1	WOW98764.1	WOW98760.1	3787..4653	4736..6005	13873..13938	13939..14005	14010..14076	2242..2309	complement(3383..3450)	complement(3521..3575)	complement(3648..3712)	complement(3583..3647)	10701..10764	14089..14159	6060..6128;6137..6205	13802..13868	complement(3245..3310)	12482..12537	7148..7214	8867..8930;14514..14580	complement(8936..8999)	complement(3451..3517)	complement(3320..3382)	4654..4717
Carcinoscorpius rotundicauda	JX437074.1	35	AFR25738.1	AFR25737.1	AFR25747.1	AFR25736.1	AFR25739.1	AFR25744.1	AFR25745.1	AFR25735.1	AFR25740.1	AFR25742.1	AFR25743.1	AFR25741.1	AFR25746.1	complement(13858..14677)	complement(12488..13787)	5794..5863	5864..5925	5925..5994	3705..3769	complement(1286..1350)	complement(66..132)	6059..6121	5377..5442	complement(7907..7970)	1..67	complement(12354..12419);complement(12421..12487)	3635..3705	131..199	complement(6128..6192)	complement(9670..9735)	5994..6059;11329..11396	9605..9668	1218..1286	complement(1351..1415)	complement(13788..13857)
Carinina ochracea	OR419502.1	35	WMV97817.1	WMV97816.1	WMV97814.1	WMV97815.1	WMV97824.1	WMV97820.1	WMV97818.1	WMV97826.1	WMV97825.1	WMV97822.1	WMV97821.1	WMV97823.1	WMV97819.1	4524..5280	5470..6504	13973..14036	14041..14104	14106..14168	2239..2305	4397..4459	4185..4253	12977..13031	13037..13100	11167..11230	14170..14234	6519..6581;6655..6717	13897..13962	4460..4523	3259..3322	complement(7656..7718)	9363..9427;14599..14666	complement(9429..9493)	4262..4324	4335..4396	5379..5443
Carinoma armandi	OR397958.1	35	WMW23667.1	WMW23666.1	WMW23664.1	WMW23665.1	WMW23674.1	WMW23670.1	WMW23668.1	WMW23676.1	WMW23675.1	WMW23672.1	WMW23671.1	WMW23673.1	WMW23669.1	4076..4831	5076..6106	13515..13579	13589..13652	13653..13719	2221..2286	3760..3822	3688..3756	12539..12591	12593..12658	10680..10743	13725..13788	6155..6213;6226..6288	13445..13508	4008..4072	3149..3214	complement(7220..7282)	8877..8943;14140..14208	complement(8946..9010)	3826..3891	3894..3957	4838..4902
Casuarius casuarius	MN356153.1	35	QNN84163.1	QNN84162.1	QNN84160.1	QNN84161.1	QNN84164.1	QNN84169.1	QNN84158.1	QNN84159.1	QNN84165.1	QNN84167.1	QNN84166.1	QNN84168.1	QNN84170.1	70..1037	1107..2701	complement(5091..5159)	9871..9938	complement(5163..5235)	6995..7063	complement(5239..5305)	complement(3835..3905)	complement(15545..15613)	9449..9517	11607..11676	3758..3829	2702..2775;11742..11812	7753..7822	3905..3975	1..70	complement(14929..14998)	complement(6919..6992);11677..11742	14784..14853	5015..5089	complement(5306..5375)	1037..1107
Centrorhynchus aluconis	KT592357.1	32	AMK47816.1	-	AMK47814.1	AMK47823.1	AMK47824.1	AMK47821.1	-	AMK47825.1	AMK47817.1	AMK47819.1	AMK47818.1	AMK47820.1	-	11997..12578	1700..2600	14039..14091	14088..14141	14140..14193	3088..3140	13257..13309	1587..1647	6023..6084	1547..1599	7770..7827	11593..11646	2601..2657;9468..9519	5965..6025	11943..11996	12571..12621	9520..9571	3205..3252;14195..14250	6085..6139	4161..4219	1643..1699	5900..5960
Cephalodiscus hodgsoni	MF374802.1	33	QAV59298.1	-	QAV59289.1	QAV59299.1	QAV59297.1	QAV59294.1	-	QAV59293.1	QAV59295.1	QAV59291.1	QAV59300.1	QAV59296.1	QAV59292.1	15440..16310	14300..15366	12802..12866	12500..12563	10772..10839	12947..13016	7778..7841	15367..15435	7984..8045	complement(6135..6197)	312..376	8650..8720	7543..7614;8577..8648	12653..12719	12878..12944	12574..12642	complement(3032..3095)	8048..8117;12731..12799	7849..7916	12429..12496	complement(4498..4571)	13017..13081
Cephalothrix simula	FJ594739.1	34	ACL27417.1	ACL27418.1	-	ACL27429.1	ACL27425.1	ACL27420.1	ACL27419.1	ACL27427.1	ACL27426.1	ACL27422.1	ACL27421.1	ACL27423.1	ACL27424.1	2102..2939	3008..4298	12047..12115	12117..12181	12182..12247	1804..1867	953..1015	10618..10687	13850..13914	12684..12749	8786..8849	12262..12326	4299..4366;4656..4720	11979..12044	2038..2101	1727..1793	complement(5669..5734)	6894..6961;12749..12817	complement(7065..7131)	16229..16296	1..67	2940..3007
Cerebratulus sp.	OR397956.1	35	WMW23719.1	WMW23718.1	WMW23716.1	WMW23717.1	WMW23726.1	WMW23722.1	WMW23720.1	WMW23728.1	WMW23727.1	WMW23724.1	WMW23723.1	WMW23725.1	WMW23721.1	3356..4194	4259..5559	12949..13012	13160..13224	13225..13289	2287..2351	3223..3283	13084..13151	11957..12021	12029..12092	10158..10219	13295..13358	5560..5625;5637..5700	12889..12948	3288..3355	13015..13079	complement(6705..6765)	8370..8437;14176..14242	complement(8439..8503)	1534..1598	6635..6699	4195..4258
Charinus carajas	OQ758255.1	34	WGV34165.1	WGV34164.1	-	WGV34163.1	WGV34166.1	WGV34172.1	WGV34173.1	WGV34161.1	WGV34167.1	WGV34169.1	WGV34170.1	WGV34168.1	WGV34171.1	complement(13691..14439)	complement(12292..13409)	5744..5813	5814..5877	5877..5942	3657..3722	complement(1262..1323)	complement(64..132)	5999..6062	5331..5397	complement(7790..7859)	1..66	complement(12201..12268);complement(12271..12336)	3590..3657	132..201	complement(6059..6125)	complement(9563..9625)	5943..5997;11191..11260	9503..9562	1196..1262	complement(1325..1385)	complement(13612..13681)
Chrysaora quinquecirrha	MW401676.1	18	QQY98447.1	QQY98446.1	QQY98444.1	QQY98445.1	QQY98448.1	QQY98456.1	QQY98454.1	QQY98449.1	QQY98452.1	QQY98455.1	QQY98453.1	QQY98450.1	QQY98451.1	11095..12053	complement(1865..3556)	-	-	-	-	-	-	-	-	-	-	-	-	7885..7955	-	-	3599..3660	-	6113..6182	-	-
Ciona intestinalis	AM292218.1	35	CAL23349.2	CAL23358.1	CAL23359.2	CAL23351.2	CAL23354.2	CAL23352.2	CAL23355.2	CAL23350.2	CAL23356.2	CAL23357.2	CAL23353.2	CAL23360.2	CAL23348.2	1..660	7591..8719	3346..3407	5573..5640	1561..1630	1349..1416	10607..10658	5640..5706	9130..9199	1212..1279;10885..10952	5500..5569	8720..8786	11035..11098;14524..14591	6498..6566	1282..1344;1494..1560	10672..10739	5157..5218	1428..1487;11099..11159	12725..12788	661..722	10965..11031	9200..9264
Colobocentrotus mertensii	MK609487.1	34	QLM02015.1	QLM02014.1	QLM02011.1	QLM02013.1	QLM02016.1	QLM02021.1	QLM02009.1	QLM02010.1	QLM02017.1	QLM02018.1	-	QLM02019.1	QLM02020.1	74..966	4318..5876	complement(1539..1609)	7440..7508	1396..1467	complement(1916..1984)	1681..1749	complement(1317..1388)	967..1035	2073..2140	12026..12095	3188..3258	1468..1539;2141..2213	8497..8566	1842..1914	1..73	1246..1315	complement(10197..10266);12096..12164	1040..1112	1612..1680	1999..2069	complement(1749..1818)
Conus marmoreus	OR033162.1	35	WJJ70350.1	WJJ70349.1	WJJ70347.1	WJJ70348.1	WJJ70357.1	WJJ70353.1	WJJ70351.1	WJJ70359.1	WJJ70358.1	WJJ70355.1	WJJ70354.1	WJJ70356.1	WJJ70352.1	3843..4798	4866..6234	13773..13839	13857..13925	13939..14007	2393..2458	complement(3504..3567)	complement(3635..3692)	complement(3775..3842)	complement(3708..3773)	10889..10955	14017..14087	6235..6304;6311..6379	13683..13753	complement(3359..3426)	12671..12735	7326..7392	9056..9120;14457..14524	complement(9132..9198)	complement(3568..3633)	complement(3436..3501)	4799..4865
Cristaphyes cryopygus	PX569133.1	35	YBW34773.1	YBW34768.1	YBW34767.1	YBW34772.1	YBW34774.1	YBW34777.1	YBW34769.1	YBW34770.1	YBW34775.1	YBW34778.1	YBW34771.1	YBW34779.1	YBW34776.1	1931..2513	3090..4000	6485..6545	12011..12073	7300..7369	11883..11944	6089..6148	5966..6028	1562..1624	2514..2573	13431..13492	9221..9285	1624..1685;2743..2803	2949..3011	9287..9344	1686..1744	6152..6210	1740..1800;2574..2626	6545..6604	11817..11880	11952..12011	2626..2690
Cubaia aphrodite	JN700942.1	17	AER54530.1	AER54529.1	AER54527.1	AER54528.1	AER54531.1	AER54539.1	AER54537.1	AER54532.1	AER54535.1	AER54538.1	AER54536.1	AER54533.1	AER54534.1	10185..11178	complement(939..2699)	-	-	-	-	-	-	-	-	-	-	-	-	6927..6997	-	-	-	-	5116..5186	-	-
Darwinula stevensoni	MW722935.1	34	XOL08691.1	XOL08690.1	-	XOL08689.1	XOL08692.1	XOL08698.1	XOL08699.1	XOL08700.1	XOL08693.1	XOL08695.1	XOL08696.1	XOL08694.1	XOL08697.1	complement(12255..12976)	complement(10950..12201)	4351..4411	4410..4473	4543..4606	2276..2340	complement(14973..15038)	complement(13772..13840)	4673..4734	3935..3998	complement(6480..6543)	13712..13774	1529..1593;complement(10914..10977)	4473..4540	13848..13917	complement(4733..4801)	complement(8237..8304)	4604..4671;9900..9964	8171..8236	14916..14980	complement(15040..15101)	complement(12195..12261)
Demospongiae sp.	PP971517.1	35	XCI16358.1	XCI16357.1	XCI16352.1	XCI16356.1	XCI16359.1	XCI16360.1	XCI16353.1	XCI16354.1	XCI16364.1	XCI16362.1	XCI16365.1	XCI16355.1	XCI16363.1	7082..8486	8696..11349	6690..6762	13748..13821;19832..19902	14984..15054	1722..1793	1810..1876	14743..14814	18712..18783	8487..8558	18576..18648	3135..3207	3003..3086;15085..15158	12600..12672	3216..3286;6801..6872;11701..11772	7009..7081	16955..17027	1613..1696;16828..16913	16377..16450	14883..14953	11578..11657	8602..8674
